epoch,OA,P,R,KC,F1,AUC
0,0.774165079,0.134496815,0.767631235,0.166990947,0.228889804,0.848547475
1,0.7748,0.135250293,0.770830304,0.168337428,0.230123071,0.851123003
2,0.776596825,0.136532881,0.7731569,0.170517618,0.23208206,0.8536293
3,0.778380952,0.13775009,0.774901847,0.172566683,0.233917872,0.855996986
4,0.780825397,0.139191271,0.775338083,0.174927849,0.236012748,0.858232212
5,0.784450794,0.141202354,0.774611022,0.178159502,0.238862857,0.860460634
6,0.788419048,0.143350325,0.772866075,0.181553817,0.241843746,0.862639134
7,0.793663492,0.146460604,0.771702777,0.186486468,0.246195955,0.864755528
8,0.799174603,0.149520007,0.767776647,0.191177306,0.250296279,0.866570348
9,0.804863492,0.152928511,0.764286753,0.196384518,0.254861077,0.868164727
10,0.81087619,0.156665867,0.760069798,0.202007586,0.259784797,0.86957651
11,0.817161905,0.160765136,0.755271194,0.208082575,0.265101442,0.870404417
12,0.822495238,0.164309829,0.750181765,0.213212632,0.269575441,0.870907011
13,0.827955556,0.16832885,0.746110222,0.219041335,0.274686153,0.871171131
14,0.833853968,0.172378656,0.737967137,0.22458307,0.279475742,0.871504428
15,0.84047619,0.177574387,0.730696525,0.231741147,0.285714286,0.871910531
16,0.847053968,0.183043606,0.722698851,0.239084029,0.292103794,0.872386089
17,0.853625397,0.189154913,0.715719064,0.247232661,0.299227917,0.872930154
18,0.860126984,0.195466056,0.707139741,0.255325419,0.30627283,0.873532573
19,0.866266667,0.201799378,0.69797877,0.263166668,0.313080912,0.874178559
20,0.871777778,0.207553799,0.687218264,0.269846418,0.318818093,0.874868086
21,0.87735873,0.214452964,0.67922059,0.278066608,0.325982274,0.875593365
22,0.882977778,0.222019055,0.670932092,0.286841111,0.333634622,0.876346321
23,0.888311111,0.229771994,0.66235277,0.295509817,0.341185723,0.87716246
24,0.893460317,0.237780014,0.652900974,0.304052224,0.348602484,0.878032001
25,0.89847619,0.246367938,0.643594591,0.312942779,0.356332018,0.878859495
26,0.9036,0.255964273,0.633415734,0.322455777,0.364595104,0.879658278
27,0.908304762,0.265803975,0.624254762,0.33193268,0.372850443,0.880495526
28,0.912609524,0.275506878,0.614512142,0.34069381,0.380446525,0.881270125
29,0.916692063,0.286047149,0.606950705,0.350275865,0.388839722,0.881994833
30,0.919834921,0.294105007,0.597062673,0.356434543,0.394087724,0.882747067
31,0.922768254,0.302443764,0.58848335,0.362790316,0.399545858,0.883517353
32,0.925625397,0.311364168,0.580485677,0.369482187,0.405320337,0.884323841
33,0.928546032,0.321361522,0.572488003,0.376791334,0.411647846,0.885160494
34,0.930838095,0.329367777,0.563617857,0.381688584,0.415768302,0.886016094
35,0.933034921,0.3380406,0.556928893,0.387428618,0.420717307,0.88687194
36,0.9348,0.345283707,0.550385342,0.391708959,0.424351141,0.887644586
37,0.936196825,0.351079812,0.543696379,0.39452795,0.426656016,0.888347758
38,0.937434921,0.356668272,0.538606951,0.397497147,0.429150736,0.889091977
39,0.938393651,0.361007279,0.533662934,0.399389692,0.430675351,0.88986554
40,0.939301587,0.365351802,0.529300567,0.401376131,0.432304038,0.890658932
41,0.940012698,0.368759571,0.525229024,0.402654125,0.433301344,0.891373946
42,0.940533333,0.371156434,0.521302894,0.403154702,0.433599419,0.892101218
43,0.941079365,0.374175306,0.519557947,0.404827362,0.435042007,0.892836296
44,0.941542857,0.37669348,0.517522175,0.405997496,0.436018377,0.893501681
