epoch,OA,P,R,KC,F1,AUC
0,0.578029557,0.123089481,0.272478036,-0.061697239,0.169574996,0.506783083
1,0.584965517,0.137909967,0.309427379,-0.035784005,0.190787199,0.548694987
2,0.593448276,0.15448068,0.351236837,-0.006474908,0.214583452,0.583237238
3,0.604837438,0.17479455,0.402891146,0.029842722,0.243811391,0.612407171
4,0.616778325,0.195002136,0.455106237,0.066323674,0.273021213,0.638249603
5,0.629192118,0.214187364,0.504018942,0.101141877,0.300622503,0.661531761
6,0.64155665,0.23204449,0.548570004,0.133590123,0.326134469,0.682630902
7,0.654995074,0.249372407,0.588011714,0.164739875,0.350218956,0.701403521
8,0.668384236,0.264584782,0.616611627,0.191338933,0.370283063,0.718062294
9,0.679576355,0.277125386,0.638170603,0.21289043,0.386439527,0.732884996
10,0.691389163,0.289826357,0.656240264,0.234062431,0.402076811,0.74613078
11,0.703408867,0.30241516,0.67019752,0.254268524,0.416769994,0.758033455
12,0.715221675,0.314690959,0.680166989,0.273148173,0.430297416,0.768778026
13,0.7271133,0.327447786,0.688703346,0.2921442,0.443859931,0.778501125
14,0.737921182,0.339479129,0.69524581,0.309476384,0.456201321,0.787283876
15,0.748827586,0.351954607,0.699545143,0.326631047,0.468298991,0.795221924
16,0.759881773,0.365030973,0.7012898,0.343629743,0.480141632,0.802621498
17,0.770374384,0.378205128,0.702162128,0.360091919,0.491613044,0.809562195
18,0.780689655,0.392031429,0.702598293,0.376751502,0.503258056,0.816109039
19,0.791507389,0.407517274,0.701912892,0.394511215,0.51565504,0.822335382
20,0.802246305,0.424080015,0.700105926,0.41250359,0.528206093,0.828297007
21,0.812068966,0.440451826,0.697302013,0.429269243,0.5398847,0.834003729
22,0.821901478,0.458220025,0.69294037,0.44623721,0.551650587,0.839512848
23,0.831793103,0.477856587,0.688454109,0.464107149,0.56414184,0.844882066
24,0.840916256,0.49777677,0.683593993,0.481123336,0.576071832,0.849992289
25,0.849940887,0.519485469,0.679419278,0.498999988,0.588784794,0.854872992
26,0.857940887,0.540737779,0.674060689,0.514975147,0.600083206,0.85954398
27,0.86582266,0.563672571,0.67019752,0.531938053,0.612336683,0.864004294
28,0.872916256,0.586462451,0.66564895,0.547473956,0.623551729,0.868600376
29,0.88017734,0.611959214,0.661910399,0.564374119,0.63595546,0.873175425
30,0.885891626,0.633975166,0.658545704,0.578038812,0.646026895,0.877714824
31,0.891743842,0.658205689,0.655991027,0.592822861,0.657096492,0.882191442
32,0.89720197,0.682104171,0.655243317,0.607605438,0.668403992,0.886561626
33,0.902118227,0.704947707,0.655181008,0.621495217,0.679153883,0.890785408
34,0.906197044,0.725507807,0.65430868,0.633042637,0.688071291,0.894843311
35,0.910453202,0.747933884,0.654121752,0.645601971,0.697889314,0.898769062
36,0.914413793,0.770066031,0.653997134,0.657570117,0.707301459,0.902527221
37,0.917862069,0.790142965,0.65430868,0.668327186,0.715838986,0.906007191
38,0.920758621,0.807781024,0.654620226,0.677532245,0.723180176,0.909133934
39,0.923231527,0.823524802,0.654807153,0.685483141,0.729538355,0.912052176
40,0.925477833,0.838128636,0.655243317,0.692872164,0.735487481,0.914825393
41,0.927418719,0.850646204,0.656177955,0.69947776,0.740863203,0.917467007
42,0.929044335,0.861544749,0.656801047,0.705015559,0.745368406,0.919985161
43,0.930482759,0.870417662,0.658358776,0.71021642,0.749680715,0.922383539
44,0.931871921,0.878689884,0.660290361,0.715375741,0.753993383,0.924661778
45,0.933054187,0.885583333,0.662159636,0.719841904,0.757745374,0.926823303
46,0.934197044,0.891591441,0.664652003,0.724344827,0.761574983,0.928886692
47,0.935261084,0.896701825,0.667455916,0.728664365,0.765279514,0.930880997
48,0.936226601,0.900803616,0.670509066,0.73271107,0.768780139,0.932822394
49,0.93720197,0.905252576,0.673312979,0.736732167,0.772243264,0.934715008
50,0.938039409,0.907617775,0.67705153,0.740499462,0.775561186,0.93655755
51,0.939024631,0.910628019,0.681226245,0.744870461,0.779397612,0.938331516
52,0.939970443,0.913249211,0.685463269,0.749110746,0.783128671,0.940051394
53,0.940729064,0.915789474,0.688454109,0.752413793,0.786014086,0.941727868
54,0.941615764,0.918409523,0.692254969,0.756337122,0.789454985,0.943380651
55,0.942551724,0.92209187,0.695432737,0.76029047,0.792881753,0.94501466
56,0.943310345,0.924326107,0.698672815,0.76363529,0.795812633,0.946598719
