epoch,OA,P,R,KC,F1,AUC
0,0.578043165,0.20226774,0.452873734,0.039488677,0.27963959,0.570074337
1,0.592988031,0.216288339,0.476697439,0.064910321,0.297564829,0.588068591
2,0.609292744,0.23110099,0.498659917,0.091226846,0.315831663,0.605947883
3,0.626863059,0.247400071,0.520696843,0.119546154,0.335427557,0.623527677
4,0.642925424,0.262527668,0.538639071,0.145121213,0.353004318,0.64000538
5,0.657601012,0.277111119,0.555315664,0.169283128,0.369724157,0.655455065
6,0.669947356,0.289922657,0.569312091,0.190101598,0.384194132,0.66989732
7,0.680476081,0.301740068,0.583531864,0.209267315,0.397787251,0.68336853
8,0.689618031,0.312434203,0.596560453,0.226478649,0.410092377,0.695934482
9,0.697373204,0.322179845,0.610035736,0.242333082,0.421664737,0.707652071
10,0.703674283,0.330299553,0.621426444,0.255513655,0.431336072,0.718596044
11,0.709140603,0.337457728,0.63147707,0.267095042,0.43985791,0.728842832
12,0.71382602,0.343533741,0.639368672,0.276771323,0.446930863,0.738458279
13,0.718699931,0.349981904,0.647930316,0.28704484,0.454476618,0.747302195
14,0.723358421,0.355872463,0.653960691,0.296030395,0.460920897,0.755750996
15,0.727989983,0.36188961,0.660437761,0.305233335,0.467571485,0.76375733
16,0.732688864,0.367990462,0.666393687,0.314390789,0.474149804,0.771311463
17,0.737414673,0.374197024,0.672200715,0.323604387,0.480764623,0.778479843
18,0.741978916,0.380103748,0.676444312,0.332034356,0.486715235,0.785295755
19,0.746327737,0.385861996,0.680687909,0.340224703,0.492525655,0.791925907
20,0.751215112,0.39213339,0.682846933,0.348494656,0.498180436,0.79822675
21,0.755415831,0.397718434,0.685229303,0.355900298,0.503308361,0.804221081
22,0.760451308,0.404486505,0.687313877,0.364587913,0.509267432,0.809933586
23,0.765904164,0.412161862,0.690812984,0.374618124,0.516288775,0.815497239
24,0.771060816,0.419389782,0.691780822,0.383339663,0.522198494,0.820800614
25,0.776096293,0.426711889,0.693120905,0.39214702,0.52822695,0.825907365
26,0.781185626,0.434351429,0.694535438,0.401213594,0.53446004,0.830842032
27,0.786382669,0.442469509,0.696843359,0.410946894,0.541259469,0.835620191
28,0.791579713,0.450797617,0.698481239,0.420581746,0.547950006,0.840246732
29,0.796386305,0.458729926,0.699672424,0.429514551,0.554143695,0.844769073
30,0.800829373,0.466256756,0.700044669,0.437629954,0.559719039,0.849262086
31,0.805649428,0.474739334,0.701682549,0.447026294,0.566321166,0.853738818
32,0.811102285,0.484641463,0.70242704,0.457433198,0.573556231,0.858140179
33,0.81644743,0.494743449,0.704213818,0.468204574,0.581180302,0.862508652
34,0.821604082,0.504839396,0.706745086,0.479058771,0.588968855,0.866888297
35,0.826814589,0.515389192,0.709350804,0.490218673,0.597011185,0.871323601
36,0.832052024,0.526356333,0.712179869,0.501689743,0.605328102,0.875847376
37,0.837275995,0.537639821,0.715678976,0.5135427,0.614013797,0.880485038
38,0.842298009,0.548821358,0.71932698,0.52520127,0.622611721,0.885244675
39,0.848114389,0.56222878,0.72342168,0.538870912,0.632720169,0.890121604
40,0.853903841,0.575934098,0.728707564,0.55308957,0.643375949,0.89519859
41,0.859275915,0.589168163,0.732951161,0.566273137,0.653241324,0.900373178
42,0.864513349,0.6023701,0.73793925,0.579575764,0.663298424,0.905211136
43,0.869723857,0.615897309,0.743001787,0.593020134,0.673505196,0.909671516
44,0.874018822,0.627351709,0.747245384,0.604259447,0.682069926,0.913776613
45,0.878057975,0.638318052,0.751563431,0.615035266,0.690327213,0.917502454
46,0.881706677,0.648491434,0.755285884,0.624813386,0.697826386,0.92086117
47,0.884884144,0.657463553,0.758784991,0.633472573,0.704499896,0.923869102
48,0.888075074,0.666212092,0.763773079,0.64262522,0.711664528,0.926572309
49,0.890444711,0.673027907,0.766676593,0.649248198,0.716806459,0.929004843
50,0.892652781,0.679065801,0.770622394,0.655768203,0.721952921,0.931209187
51,0.894551183,0.684162063,0.774419297,0.661492009,0.726498114,0.933208583
52,0.896341874,0.689245395,0.777248362,0.66671632,0.730606389,0.93502935
53,0.898146029,0.694232934,0.780598571,0.672118437,0.734886981,0.936691558
54,0.899869401,0.699156202,0.783427635,0.677201823,0.738896886,0.938199848
55,0.901417743,0.703530979,0.786182251,0.681831911,0.742563814,0.939561755
56,0.90284491,0.70755977,0.788787969,0.686124592,0.745969161,0.940781844
57,0.903975873,0.710645981,0.791170339,0.689605993,0.748749383,0.941872955
58,0.905133763,0.71377879,0.793701608,0.693195411,0.751621545,0.942853846
59,0.906076232,0.716469957,0.795413937,0.696040671,0.753880892,0.943741152
60,0.906695569,0.718275816,0.796456224,0.697893748,0.755348443,0.944535079
61,0.907301442,0.720067227,0.797424062,0.699696706,0.756773943,0.945238736
62,0.908109273,0.7223531,0.798987493,0.702164471,0.758740146,0.945863864
63,0.908795929,0.724568268,0.799657534,0.704118076,0.760263307,0.946427442
64,0.909522976,0.726695488,0.800923169,0.706312981,0.76200595,0.946942435
65,0.910142313,0.728774543,0.801369863,0.708046429,0.763350117,0.947430317
66,0.910828969,0.73098582,0.802114354,0.710026418,0.764900075,0.94790901
67,0.911650263,0.733768885,0.802709946,0.7123354,0.76669274,0.948388866
68,0.912309992,0.736159465,0.802858845,0.714123485,0.768063815,0.948877861
69,0.912929328,0.738543736,0.802709946,0.715744368,0.769291142,0.949371417
70,0.913575593,0.740682271,0.803379988,0.717616516,0.770758187,0.949865095
71,0.914666164,0.744384732,0.804347826,0.720748573,0.773205468,0.95035016
72,0.915635561,0.747889857,0.804794521,0.723454233,0.775299433,0.950826851
73,0.916376072,0.750537784,0.805241215,0.725549162,0.776927774,0.95129331
74,0.916914626,0.752591665,0.805315664,0.727024099,0.7780615,0.951747597
75,0.917587818,0.755147623,0.805464562,0.728883726,0.779494939,0.952192812
76,0.918301402,0.757843137,0.805687909,0.730873628,0.781033487,0.952658208
77,0.919001521,0.760612876,0.805687909,0.732786548,0.782501808,0.953124525
78,0.919526611,0.763037189,0.805017868,0.734089091,0.783465565,0.95360227
79,0.920051701,0.765518707,0.804273377,0.735380803,0.784417659,0.954092733
80,0.920926851,0.768754889,0.80486897,0.737912139,0.786397527,0.954589199
81,0.921586579,0.77140411,0.804943419,0.739750387,0.787816963,0.955082468
82,0.922461729,0.775077078,0.804794521,0.742147478,0.789656306,0.95557107
83,0.92320224,0.778386167,0.804347826,0.744120074,0.791154071,0.956068057
84,0.924306275,0.782643312,0.805017868,0.747335541,0.79367293,0.956567105
85,0.925046787,0.78568834,0.805166766,0.74944078,0.795308306,0.957090949
86,0.925800762,0.789235376,0.804571173,0.751447098,0.796829493,0.95762273
87,0.926743231,0.793290758,0.804571173,0.754108666,0.798891148,0.958149414
88,0.927820338,0.797756954,0.804943419,0.757233843,0.801334074,0.95869276
89,0.928883982,0.802344562,0.805092317,0.760291602,0.803716091,0.959236369
90,0.929961089,0.807135393,0.805092317,0.76337381,0.806112561,0.959780542
91,0.930863167,0.810586209,0.806060155,0.766143083,0.808316846,0.960332416
92,0.931967202,0.815260742,0.806581298,0.769421715,0.810897796,0.960891634
93,0.932896207,0.819370936,0.806804646,0.772152216,0.813039238,0.961433166
94,0.933973315,0.823913704,0.807474687,0.775403142,0.81561137,0.961945771
95,0.934996567,0.828547426,0.807698035,0.778430433,0.817989897,0.962340533
96,0.935562048,0.831518405,0.80725134,0.780009931,0.819205198,0.962617596
97,0.936140993,0.834629901,0.806730197,0.781621228,0.82044293,0.962814309
98,0.936612228,0.83714639,0.806357951,0.782945652,0.821463785,0.96299603
99,0.937150782,0.840006207,0.805985706,0.784472657,0.822644377,0.963098435
100,0.937622016,0.842773666,0.805315664,0.785754001,0.82361899,0.963195045
101,0.938227889,0.846063547,0.80486897,0.787477388,0.824952308,0.963287646
102,0.938779907,0.849500433,0.803901132,0.78895849,0.826071989,0.963383341
103,0.93931846,0.852906287,0.802933294,0.790405201,0.827165702,0.963482137
104,0.939749303,0.856313151,0.801295414,0.79142279,0.827891235,0.963515991
105,0.940032044,0.85889031,0.799806432,0.79202415,0.828296068,0.963590781
106,0.940610989,0.862784525,0.798615247,0.793570548,0.829460661,0.963679129
