epoch,OA,P,R,KC,F1,AUC
0,0.839943036,0.058396516,0.255229142,0.043792796,0.095046385,0.649181473
1,0.839865639,0.059878957,0.262749706,0.046378441,0.097531187,0.662763214
2,0.840446116,0.061723103,0.270740306,0.049548809,0.100527946,0.677446883
3,0.841289743,0.062980692,0.27520564,0.05167441,0.102503501,0.693614471
4,0.84266741,0.06514799,0.282961222,0.055335551,0.10591133,0.71123229
5,0.844323705,0.067237898,0.289541716,0.058825011,0.109132784,0.729600151
6,0.8465063,0.069339231,0.294712103,0.062265109,0.112264996,0.746903104
7,0.848928826,0.071284125,0.298237368,0.065382265,0.115065512,0.761948867
8,0.851359091,0.073734033,0.303877791,0.069344576,0.118672847,0.774546112
9,0.854230519,0.076265768,0.308343126,0.073354617,0.122285395,0.7852139
10,0.857434754,0.079149088,0.313043478,0.077873194,0.126351736,0.794373509
11,0.861041454,0.08206724,0.316098707,0.082319397,0.130304205,0.802293776
12,0.864787468,0.085658745,0.321034078,0.087807222,0.135234135,0.80898351
13,0.868510263,0.089119773,0.324559342,0.092969845,0.139841021,0.814815654
14,0.872310455,0.092416273,0.326204465,0.09771933,0.144028225,0.820000607
15,0.876489892,0.096643,0.329494712,0.103810349,0.149451018,0.824639203
16,0.880413919,0.100542315,0.331139835,0.109245559,0.154250369,0.828741844
17,0.884167673,0.103853835,0.329964747,0.113576272,0.157983572,0.832509247
18,0.888246494,0.108247423,0.3306698,0.11940612,0.163102069,0.836008934
19,0.892155042,0.112685074,0.330904818,0.125134459,0.168119403,0.839243662
20,0.896195164,0.117470131,0.330434783,0.131103128,0.173323471,0.842261161
21,0.900304944,0.12305541,0.330904818,0.13801264,0.179397337,0.845127384
22,0.90452308,0.129141808,0.3306698,0.145256662,0.185742574,0.847881411
23,0.908207176,0.134691133,0.329494712,0.151548888,0.191216585,0.850546134
24,0.912115724,0.141703674,0.329964747,0.159537056,0.19826308,0.853105202
25,0.915645026,0.14809322,0.328554642,0.166311996,0.204162103,0.855591838
26,0.918787344,0.154977876,0.329259694,0.173752327,0.210755923,0.858279472
27,0.92198384,0.162083768,0.328319624,0.180908072,0.217026565,0.861066407
28,0.925273211,0.170410156,0.328084606,0.189162085,0.224311079,0.863878666
29,0.928299433,0.17862184,0.327144536,0.196859245,0.231075697,0.866519955
30,0.931139903,0.187196765,0.326439483,0.204650906,0.237944325,0.869018853
31,0.933461812,0.194569499,0.325029377,0.210910329,0.243421632,0.871514256
32,0.935768242,0.202384457,0.323149236,0.217187305,0.248891302,0.873826329
33,0.938028234,0.210315009,0.320094007,0.222957776,0.253844003,0.875974182
34,0.93967679,0.216289883,0.317038778,0.226877832,0.257148303,0.878013699
35,0.941650413,0.224865952,0.315393655,0.23305571,0.262545241,0.87994712
36,0.943298969,0.232537885,0.313748531,0.238292885,0.267106843,0.881721622
37,0.944908826,0.241466498,0.314218566,0.244959304,0.273080065,0.883364819
38,0.946332931,0.249485693,0.313513514,0.25036385,0.277858779,0.884903027
39,0.947486146,0.257662835,0.316098707,0.256942053,0.283905013,0.886354178
