epoch,OA,P,R,KC,F1,AUC
0,0.814028704,0.071048632,0.177419355,0.01850999,0.101465003,0.677321632
1,0.813871482,0.076311844,0.19316888,0.026833443,0.109403546,0.684797492
2,0.814578982,0.082584478,0.211005693,0.036765482,0.1187083,0.693053676
3,0.816375806,0.088342373,0.225616698,0.045805249,0.126968872,0.702250975
4,0.819205804,0.095782008,0.24345351,0.057407466,0.13747656,0.711987804
5,0.822496238,0.104147881,0.262998102,0.070387755,0.149208742,0.722282254
6,0.825842823,0.111549552,0.278937381,0.081724377,0.159366869,0.732981445
7,0.829200638,0.117936496,0.291081594,0.091317332,0.167861246,0.743865724
8,0.833434405,0.126601062,0.307590133,0.104263686,0.179373686,0.754951966
9,0.83754464,0.133858895,0.318975332,0.114772528,0.188579762,0.766153322
10,0.841845788,0.143169487,0.335483871,0.128381646,0.200692434,0.777323453
11,0.846281697,0.152436003,0.35028463,0.141634685,0.212428078,0.788332164
12,0.850571615,0.160756501,0.361290323,0.153135439,0.222507888,0.799033324
13,0.854648159,0.169808073,0.374383302,0.165705576,0.2336432,0.809308212
14,0.858567482,0.178263925,0.385009488,0.177118785,0.243694451,0.81916956
15,0.861936527,0.186428571,0.396204934,0.188209595,0.253551913,0.828586604
16,0.865620017,0.193967093,0.402656546,0.197724626,0.261813695,0.837413209
17,0.869247355,0.201834004,0.409297913,0.207529245,0.27035157,0.845594164
18,0.872234575,0.209107364,0.416508539,0.216703585,0.278429632,0.853375655
19,0.87483997,0.214445417,0.418595825,0.222769263,0.283602237,0.860815862
20,0.877883341,0.220638086,0.419924099,0.229493309,0.289281046,0.867905838
21,0.880668419,0.227845528,0.425426945,0.238021789,0.296757114,0.874642854
22,0.883273814,0.234617775,0.429791271,0.245789403,0.303537925,0.881030385
23,0.886036431,0.24217759,0.434724858,0.25438601,0.311065852,0.887072445
24,0.888596905,0.249028497,0.437760911,0.261765208,0.317462502,0.892861719
25,0.891707657,0.257943098,0.442125237,0.271335621,0.325805775,0.898219152
26,0.894548885,0.266598686,0.446489564,0.280531637,0.333853575,0.903362147
27,0.896952137,0.273381295,0.447058824,0.286909041,0.339285714,0.908048997
28,0.899636143,0.280917672,0.446110057,0.293428234,0.344746682,0.912291208
29,0.902073086,0.288083538,0.444971537,0.299401578,0.349739001,0.916123065
30,0.904532489,0.294334819,0.438709677,0.302924561,0.352304762,0.919323356
31,0.907014352,0.301188904,0.432637571,0.306763219,0.355140187,0.922023603
32,0.909181771,0.307397785,0.426565465,0.309829295,0.357307478,0.924323141
33,0.91134919,0.313689293,0.419165085,0.312277569,0.358836907,0.926316341
34,0.913426768,0.319946848,0.411195446,0.314225742,0.359877107,0.928041738
35,0.915684028,0.328321571,0.406072106,0.318476322,0.363081099,0.929567634
36,0.917593154,0.334877036,0.397912713,0.319975862,0.363683663,0.930939888
37,0.919580891,0.3426003,0.390512334,0.322258586,0.364990689,0.932201972
38,0.921546167,0.35119667,0.384250474,0.325252517,0.36698079,0.93345137
39,0.923657435,0.362391931,0.381783681,0.331223651,0.371835151,0.934662937
40,0.925544101,0.372802095,0.378178368,0.335885383,0.375470987,0.935799644
41,0.927644139,0.385694796,0.375521822,0.342125761,0.380540333,0.936886789
42,0.929396042,0.397293476,0.373244782,0.347481169,0.384893846,0.937944463
43,0.931136716,0.409794893,0.371537002,0.353331563,0.389729299,0.938970612
44,0.933045841,0.424717145,0.370398482,0.360437046,0.395702412,0.939967059
45,0.934932507,0.440990991,0.371537002,0.369151525,0.403295572,0.940947149
46,0.936515958,0.455702059,0.373814042,0.377512352,0.410716147,0.941907475
47,0.937829886,0.468543046,0.375901328,0.384721359,0.417140451,0.942848617
48,0.939278575,0.483482035,0.380455408,0.394250844,0.425825634,0.943751239
49,0.940547582,0.497068881,0.386148008,0.403789247,0.434643315,0.944613406
50,0.941502145,0.507488338,0.392220114,0.412136209,0.442470299,0.945447574
51,0.942411787,0.517522211,0.397912713,0.420065758,0.449903454,0.946299678
52,0.94333266,0.527777778,0.403795066,0.428199043,0.457536014,0.94716794
53,0.944309683,0.538845866,0.409297913,0.43642487,0.465221611,0.948049182
54,0.945241785,0.549672214,0.413662239,0.443795595,0.472065829,0.948943336
55,0.946196348,0.560740553,0.419544592,0.452224491,0.47997395,0.949813558
56,0.947240752,0.573033708,0.425806452,0.461391688,0.488569562,0.950667373
57,0.948262696,0.585065435,0.432637571,0.470808217,0.497436457,0.951514882
58,0.949441862,0.599481865,0.439089184,0.480924258,0.506900329,0.952369117
59,0.950373964,0.611067606,0.444212524,0.488987659,0.514448962,0.953236849
60,0.951283606,0.6221174,0.450474383,0.497586152,0.522562184,0.954003652
61,0.951934955,0.629853095,0.455597723,0.504100993,0.528738163,0.954663699
62,0.952732296,0.639642011,0.461100569,0.51167889,0.535891499,0.955351575
63,0.953686858,0.651908802,0.466603416,0.520215419,0.543906215,0.956067387
64,0.95455158,0.662936318,0.472106262,0.528254226,0.551479552,0.956813745
65,0.955584754,0.676794837,0.477609108,0.537361841,0.5600178,0.957596159
66,0.956718999,0.692286801,0.483681214,0.547449528,0.56948168,0.958409181
67,0.957639872,0.705317982,0.488235294,0.555513741,0.57703521,0.959281251
68,0.958684276,0.720055325,0.493927894,0.564981298,0.585931345,0.960204769
69,0.9597736,0.73575419,0.499810247,0.574899891,0.595254237,0.961146743
70,0.960750623,0.749227745,0.50626186,0.584398569,0.604235081,0.962106183
71,0.961761337,0.763492512,0.512713472,0.594164719,0.613463503,0.963091103
72,0.96277205,0.777304965,0.519924099,0.604309533,0.623081296,0.964141122
73,0.963603082,0.787964803,0.526755218,0.613061004,0.63141135,0.965260224
74,0.964669946,0.803428571,0.533586338,0.623491441,0.641277081,0.966450213
75,0.965658199,0.818548387,0.539278937,0.63293872,0.650194464,0.967723663
76,0.966837365,0.834923388,0.54800759,0.645053888,0.661702371,0.969100251
77,0.967881769,0.847863741,0.557305503,0.656414397,0.672544081,0.970540879
78,0.968858792,0.859073914,0.566793169,0.667324186,0.682977021,0.971999568
79,0.969858275,0.870487106,0.576470588,0.678443625,0.693607306,0.973398383
80,0.970487164,0.874858116,0.585009488,0.68627934,0.701159882,0.974630342
81,0.971014981,0.879695001,0.591081594,0.692440302,0.707070707,0.975621673
82,0.971408036,0.883661972,0.595256167,0.696897598,0.711337868,0.976300518
83,0.971722481,0.887169387,0.59829222,0.700356811,0.714641886,0.976697969
84,0.972003234,0.891236968,0.600189753,0.703176116,0.717314888,0.9769193
85,0.972205377,0.892666479,0.6028463,0.705628251,0.719673802,0.977021235
86,0.972317679,0.893408135,0.604364326,0.707001974,0.720996038,0.977103084
87,0.97241875,0.892578125,0.607020873,0.708651843,0.722611249,0.977178889
88,0.972385059,0.890525146,0.608159393,0.708752866,0.722742136,0.977259852
89,0.972283988,0.887659103,0.608728653,0.708144036,0.722197208,0.977355262
90,0.971890933,0.879144971,0.608728653,0.705081248,0.719363157,0.97745479
91,0.971857242,0.876156777,0.610815939,0.705492602,0.719812165,0.977529553
92,0.971767401,0.873239437,0.611764706,0.705102415,0.719482258,0.977553768
93,0.971632639,0.870410367,0.611764706,0.704062051,0.718520169,0.977527598
94,0.971576489,0.869037995,0.611954459,0.703690507,0.71818283,0.977464802
95,0.971486647,0.86756393,0.611574953,0.7028766,0.717417919,0.97739098
96,0.971475417,0.867726293,0.611195446,0.702667547,0.717212202,0.977329417
97,0.971486647,0.86756393,0.611574953,0.7028766,0.717417919,0.977311696
98,0.971430497,0.866397849,0.611574953,0.702444978,0.71701891,0.97735157
99,0.971374346,0.864647548,0.612144213,0.70219796,0.716809243,0.977448305
100,0.971408036,0.863976483,0.613472486,0.702885091,0.717487794,0.977628185
101,0.971475417,0.86341853,0.615370019,0.704011625,0.718590738,0.977879492
102,0.971542798,0.863443146,0.616698292,0.704953309,0.719504096,0.978190649
103,0.97167756,0.864069952,0.618785579,0.706651662,0.721141088,0.97855497
104,0.97171125,0.862641708,0.620872865,0.707570383,0.722056714,0.978984297
