epoch,OA,P,R,KC,F1,AUC
0,0.654941988,0.137876664,0.362522456,0.033370739,0.19977408,0.545857805
1,0.658466506,0.143717608,0.378092036,0.043601878,0.20826937,0.56076963
2,0.663474168,0.151441339,0.398083744,0.057107075,0.219412497,0.581050239
3,0.669696804,0.160326278,0.420102262,0.072579544,0.232081738,0.605455577
4,0.676849825,0.170813422,0.446220462,0.090821034,0.247054323,0.631016968
5,0.684632224,0.181508611,0.471417384,0.109287131,0.262101112,0.655690651
6,0.692732049,0.192736682,0.49748952,0.128590361,0.277834945,0.678316354
7,0.700426883,0.203525842,0.522225805,0.147062073,0.292900326,0.69873781
8,0.707979422,0.21388924,0.54493528,0.164655633,0.307200914,0.717297943
9,0.715427977,0.224263501,0.567368373,0.182185233,0.321462593,0.7338441
10,0.722799912,0.23449111,0.588695933,0.199329117,0.335389057,0.748936875
11,0.730160902,0.244054906,0.606062002,0.214999586,0.347981327,0.762869353
12,0.738211471,0.254422741,0.623382007,0.231714797,0.361361816,0.775833809
13,0.746524737,0.265308458,0.640655949,0.24904089,0.375227638,0.787975653
14,0.754389229,0.275272071,0.653645953,0.264402477,0.387397963,0.799403106
15,0.762784588,0.286143566,0.666728085,0.280865436,0.400431583,0.810188139
16,0.771322242,0.297422753,0.678842876,0.297560739,0.413623733,0.820925012
17,0.780128065,0.309377323,0.69026671,0.31483625,0.427257823,0.831524113
18,0.789081655,0.321957515,0.700953522,0.332566813,0.441245125,0.841642002
19,0.797608363,0.334553885,0.711271823,0.350023098,0.455063879,0.851152344
20,0.806353984,0.347870589,0.720162145,0.367843099,0.469130246,0.859967589
21,0.813879159,0.359610072,0.725597678,0.382834272,0.480888997,0.868034536
22,0.821459063,0.371919448,0.72992768,0.397999058,0.492762186,0.875370748
23,0.82843148,0.38371532,0.732645447,0.411944944,0.503649519,0.881995297
24,0.835184982,0.395645049,0.734027362,0.425446352,0.514156651,0.887959597
25,0.841746935,0.407869506,0.734856511,0.438828864,0.524579922,0.893328277
26,0.847854641,0.42004673,0.737021512,0.452203809,0.535117057,0.898656029
27,0.85408275,0.433156091,0.739232576,0.466273259,0.546240512,0.903850489
28,0.859446147,0.445031683,0.740844811,0.478650664,0.556043424,0.908839851
29,0.865072242,0.458142642,0.742410982,0.491971274,0.566622135,0.913294529
30,0.870058012,0.47036886,0.743654705,0.504066729,0.576252432,0.91728774
31,0.875082093,0.483290411,0.743424386,0.516090436,0.585775729,0.920886699
32,0.879728546,0.495912056,0.746003961,0.528473037,0.595776772,0.924368135
