epoch,OA,P,R,KC,F1,AUC
0,0.811925566,0.225753213,0.843036979,0.286710873,0.356137824,0.888122512
1,0.814304207,0.229069439,0.849593496,0.292037786,0.360846561,0.891383475
2,0.815226537,0.230455737,0.852740624,0.294294767,0.362850128,0.894059322
3,0.816019417,0.231564365,0.85483871,0.29606454,0.364413886,0.896351407
4,0.816755663,0.232544063,0.856412274,0.297604489,0.365769651,0.898391479
5,0.818454693,0.234619657,0.85864149,0.300771508,0.368538061,0.900271385
6,0.820614887,0.236942998,0.859034881,0.304130379,0.371435051,0.902035171
7,0.823713592,0.240423738,0.860083923,0.309175618,0.37579855,0.903700647
8,0.827176375,0.244141425,0.859297141,0.314360864,0.380247773,0.905280808
9,0.831205502,0.248680463,0.85877262,0.320673766,0.385677689,0.906762749
10,0.835428803,0.253097208,0.854576449,0.326403945,0.390531835,0.908143891
11,0.840315534,0.258677719,0.85116706,0.333717557,0.396772517,0.909390475
12,0.847322006,0.267694088,0.849593496,0.345720117,0.40711301,0.910461459
13,0.854069579,0.276232644,0.842643588,0.35624426,0.416070446,0.911339076
14,0.860582524,0.285254404,0.836611592,0.367216878,0.425446786,0.911982519
15,0.867791262,0.296025839,0.829268293,0.379915201,0.436303425,0.91235747
16,0.875744337,0.308746413,0.818384474,0.394057319,0.448347701,0.91272097
17,0.883891586,0.323314592,0.806845004,0.409633085,0.461642345,0.913151508
18,0.891561489,0.339215141,0.799108314,0.42658887,0.476261186,0.913657699
19,0.898543689,0.355163876,0.79006032,0.442584301,0.4900366,0.914241996
20,0.904166667,0.369469711,0.782979281,0.456470964,0.502038929,0.914887675
21,0.909401294,0.383980772,0.775111461,0.469801967,0.513553432,0.915570406
22,0.913640777,0.396495518,0.765538946,0.480156101,0.522416107,0.916275718
23,0.918066343,0.411066069,0.757933386,0.49242929,0.533038226,0.91698852
24,0.922127832,0.425604764,0.749803304,0.50394645,0.54299416,0.917698347
25,0.926092233,0.441316015,0.744033569,0.516576406,0.554020407,0.918380849
26,0.929595469,0.456267274,0.736034618,0.527321006,0.563327981,0.918869474
27,0.932168285,0.467995271,0.726724364,0.534396053,0.569344565,0.91926879
28,0.93486246,0.481354742,0.719381065,0.542988702,0.576775482,0.919695253
29,0.937265372,0.494161649,0.710333071,0.550109642,0.58284915,0.920195462
30,0.939579288,0.507478228,0.702989772,0.557751216,0.58944475,0.920691229
31,0.941440129,0.519000979,0.694859691,0.563347382,0.594191523,0.921202277
32,0.943171521,0.530459421,0.687385261,0.568777645,0.598811972,0.92172644
33,0.944724919,0.541457811,0.679910831,0.57354214,0.602836879,0.922261652
34,0.946407767,0.554091989,0.672960923,0.579297344,0.60776883,0.922911584
35,0.948211974,0.568382271,0.667584579,0.586437892,0.614002292,0.923673208
36,0.949595469,0.5803407,0.661159192,0.591258782,0.618119407,0.924403008
37,0.950687702,0.590452558,0.655258327,0.594873464,0.621169743,0.925109999
38,0.951828479,0.601407084,0.650144243,0.599130297,0.624826717,0.925788062
