epoch,OA,P,R,KC,F1,AUC
0,0.683623349,0.030733017,0.085870529,-0.095683752,0.045265526,0.246841749
1,0.685420889,0.031572645,0.087681052,-0.094090716,0.046427453,0.24721775
2,0.688009088,0.03296836,0.090784806,-0.091499433,0.048370903,0.251968797
3,0.691378264,0.034791576,0.094738398,-0.088127973,0.050893212,0.26081263
4,0.695912453,0.0369921,0.099135383,-0.084021235,0.053879289,0.273628432
5,0.701159849,0.039658345,0.104308306,-0.079106078,0.057467404,0.28967584
6,0.707078498,0.042842995,0.110294118,-0.073321473,0.061713719,0.308243212
7,0.71408148,0.046731588,0.117203665,-0.066352105,0.066820446,0.328518823
8,0.721445906,0.05117639,0.124815253,-0.058549281,0.072589743,0.349919757
9,0.728913602,0.056268217,0.133387526,-0.049828755,0.079148442,0.371723909
10,0.737084823,0.062541209,0.143696423,-0.039346625,0.087151389,0.393459252
11,0.745165683,0.069164744,0.153931422,-0.028518889,0.095444288,0.415270647
12,0.753714485,0.076683742,0.16483151,-0.016515008,0.104671625,0.437135367
13,0.761979294,0.084784349,0.176138043,-0.003912335,0.114468897,0.4589627
14,0.770705591,0.094148475,0.18851611,0.010278349,0.125579964,0.48073008
15,0.779719106,0.104436336,0.200931126,0.025419911,0.137437764,0.502307043
16,0.788639033,0.114450821,0.210759681,0.039624707,0.148344646,0.523558865
17,0.797039385,0.124981682,0.220588235,0.054086056,0.159559541,0.54519469
18,0.805223515,0.13683866,0.23174697,0.069923393,0.172073691,0.566905349
19,0.812923567,0.149356691,0.243201301,0.086166805,0.185061786,0.588288804
20,0.82045258,0.162253534,0.253584097,0.10225928,0.197889334,0.608977138
21,0.827975138,0.176125003,0.263634348,0.118903845,0.211172771,0.628645507
22,0.835233067,0.190441784,0.272686964,0.135329479,0.224261578,0.646976875
23,0.842332864,0.205608992,0.281185338,0.151963282,0.237530433,0.663738189
24,0.849109944,0.221864407,0.290201005,0.169229709,0.251472848,0.679681226
25,0.855515897,0.238996492,0.299549217,0.186863724,0.265868656,0.693929165
26,0.86089238,0.254882186,0.308158439,0.202781891,0.278999749,0.706744307
27,0.865868692,0.270723299,0.316287319,0.218149316,0.29173696,0.718964795
28,0.870490015,0.286242434,0.323270766,0.232528365,0.303631852,0.73031433
29,0.874940297,0.302193339,0.329884718,0.24676216,0.315432448,0.741094936
30,0.879003318,0.317617432,0.335537984,0.25991943,0.326331866,0.751611798
31,0.882653259,0.332408075,0.340710907,0.272153758,0.336508284,0.761729632
32,0.886167658,0.347444713,0.345403488,0.284076233,0.346421094,0.771345386
33,0.889330295,0.36192077,0.350059119,0.29537412,0.355891137,0.780371527
34,0.892047582,0.37484814,0.353421519,0.304895064,0.363819631,0.788429927
35,0.894474421,0.386988087,0.356488324,0.31362347,0.371112607,0.795627602
36,0.89683349,0.3996316,0.360737511,0.323092586,0.379189809,0.802734535
37,0.899244194,0.413233145,0.365762637,0.333376331,0.38805151,0.809791971
38,0.901374134,0.425889035,0.371268105,0.343279164,0.396707267,0.816447594
39,0.903439529,0.438567067,0.376810523,0.353131442,0.40535008,0.822711952
40,0.905298385,0.450294182,0.38176175,0.362078368,0.413205623,0.828677265
41,0.907031381,0.461477293,0.385973988,0.370260844,0.420362173,0.834355904
42,0.908715969,0.472706156,0.390999113,0.378870188,0.427987867,0.839384634
43,0.910132702,0.482341798,0.395137452,0.38611818,0.434406418,0.843972087
44,0.911636568,0.492796437,0.40064292,0.394540418,0.441967106,0.848334817
45,0.912901623,0.501712563,0.405926692,0.402051761,0.448765344,0.852413806
46,0.914308673,0.511718571,0.412245049,0.410698559,0.456627172,0.856240543
47,0.915638272,0.521211564,0.419006799,0.419353008,0.464554188,0.859885592
48,0.917180864,0.532164011,0.428244162,0.430200204,0.474581823,0.863423454
49,0.918510463,0.541531131,0.436742536,0.439840616,0.483524575,0.866554362
50,0.919710974,0.549924599,0.444649719,0.448658214,0.491715529,0.869316508
51,0.921011527,0.558706107,0.455032516,0.459161872,0.501568036,0.873008481
52,0.922560574,0.569024478,0.467262785,0.471522344,0.513147216,0.877395197
53,0.924022487,0.578681564,0.478421519,0.48291823,0.523797002,0.881214903
54,0.925345631,0.587413831,0.488028377,0.492934238,0.533128822,0.884548454
55,0.926565505,0.595530528,0.496268105,0.501832669,0.541387025,0.887693934
56,0.927778925,0.603435334,0.504951227,0.510895018,0.549817948,0.890636223
57,0.928824532,0.610296384,0.512045522,0.518497326,0.556870467,0.893437849
58,0.929947591,0.617762146,0.519176766,0.526419087,0.564195226,0.896076395
59,0.931025469,0.625016476,0.52564292,0.533840253,0.571038635,0.898458428
60,0.932106574,0.632556093,0.531259237,0.540890638,0.577499297,0.900642111
61,0.933316767,0.640243635,0.53986846,0.549812063,0.585787311,0.903493605
62,0.934614094,0.648194136,0.549733964,0.559615767,0.594917728,0.90680479
63,0.935966282,0.656822722,0.558823529,0.569287,0.603873029,0.90987651
64,0.937179702,0.6645301,0.566952409,0.577932817,0.611875424,0.912754363
65,0.938322124,0.67194257,0.574120603,0.585860315,0.619191839,0.915457833
66,0.939319323,0.67818472,0.580882353,0.592970983,0.625773709,0.917811132
67,0.940271341,0.684126711,0.587311558,0.599735858,0.632033083,0.919879182
68,0.941168498,0.689749979,0.59326042,0.60605742,0.637876922,0.921701608
69,0.942181832,0.696107014,0.599911321,0.613160191,0.644439152,0.9236269
70,0.943288755,0.702703857,0.607855454,0.621153546,0.651847449,0.92565327
71,0.944285954,0.7086527,0.614912799,0.628297893,0.658463243,0.927765284
72,0.945360605,0.71501931,0.622524387,0.635978551,0.665573706,0.929943479
73,0.946532072,0.721528071,0.631577003,0.64458411,0.673562675,0.932172871
74,0.94771322,0.728020825,0.640703518,0.653221393,0.681576982,0.934433279
75,0.948904049,0.734987655,0.648980195,0.661591517,0.689311434,0.936703912
76,0.949943202,0.740077304,0.657958912,0.66943015,0.696606357,0.938964726
77,0.951117895,0.746392094,0.666937629,0.677878937,0.704431479,0.941196842
78,0.952221591,0.752357034,0.675214307,0.685736695,0.711701361,0.943388023
79,0.953473737,0.758492417,0.685597103,0.694902733,0.720204941,0.945523347
80,0.954516117,0.763489355,0.694317174,0.702512342,0.727262172,0.94759736
81,0.955626267,0.769034918,0.703111144,0.710439127,0.734596973,0.949489334
82,0.956565376,0.773753471,0.710427136,0.717083594,0.740739314,0.951231073
83,0.957527076,0.778338338,0.71826042,0.723951161,0.747093526,0.952816675
84,0.958424232,0.78241128,0.725835058,0.730398195,0.753062046,0.954382418
85,0.95930848,0.786612206,0.732929353,0.736632537,0.758822517,0.955870821
86,0.960099139,0.790766675,0.738582619,0.742021196,0.763784341,0.957323581
87,0.960909161,0.795159316,0.744125037,0.747471476,0.768796167,0.958726347
88,0.961544916,0.798470996,0.74866982,0.751787745,0.772768879,0.960071856
89,0.962200034,0.801792946,0.753473249,0.756255118,0.776882489,0.961349235
