epoch,OA,P,R,KC,F1,AUC
0,0.6583125,0.175431862,0.339468471,0.03951261,0.231320829,0.566663932
1,0.662425,0.181510951,0.350198085,0.049466381,0.239096134,0.57611735
2,0.66705,0.187567242,0.359730934,0.059281003,0.246570305,0.584987142
3,0.672025,0.193745663,0.368686035,0.069189522,0.254008871,0.593554266
4,0.67729375,0.199596553,0.375660284,0.078387647,0.26068529,0.601820992
5,0.6832625,0.206338278,0.38341862,0.08886962,0.268293387,0.609836517
6,0.68940625,0.212470923,0.388246946,0.098076219,0.274642028,0.617590824
7,0.696275,0.219023895,0.391878508,0.107601089,0.280996627,0.625143862
8,0.7031,0.22586345,0.395633873,0.117372291,0.287561115,0.632723972
9,0.70996875,0.233196159,0.39988445,0.127702548,0.294596033,0.640312384
10,0.71774375,0.241201929,0.402484318,0.138465165,0.30163762,0.647934584
11,0.72574375,0.249968188,0.405331793,0.149974387,0.309232586,0.655607625
12,0.73380625,0.259554182,0.408922086,0.162339589,0.317550353,0.663323926
13,0.74229375,0.270523446,0.413544074,0.176240786,0.327082823,0.671673972
14,0.7509875,0.28249359,0.418331132,0.19097177,0.337247987,0.68041673
15,0.75945,0.295325332,0.424438759,0.206583569,0.34830167,0.689417386
16,0.7683375,0.309720081,0.431041598,0.223602361,0.360445855,0.698545678
17,0.77650625,0.324052874,0.438057115,0.240251718,0.372528032,0.707534682
18,0.7849375,0.339585172,0.444577418,0.257553926,0.385052541,0.716359724
19,0.79305625,0.355555556,0.450973919,0.274793947,0.39762039,0.725005603
20,0.80055625,0.370902122,0.455224497,0.290306026,0.408759936,0.733445522
21,0.80765,0.38604068,0.457411687,0.304452145,0.418706558,0.741157177
22,0.81453125,0.401903183,0.460135358,0.318937814,0.429052429,0.748209864
23,0.8206,0.416616945,0.461043249,0.331305532,0.437705689,0.754664815
24,0.82595,0.430429429,0.461620997,0.342404704,0.445479888,0.760575856
25,0.8306875,0.443352097,0.461538462,0.352178035,0.452262526,0.765999549
26,0.83519375,0.456382414,0.461373391,0.361662345,0.458864331,0.771484357
27,0.83915,0.468443139,0.460671839,0.36989356,0.464524989,0.77704834
28,0.8429875,0.480823925,0.4604655,0.378305314,0.470424554,0.782718379
29,0.84685,0.493995055,0.461703533,0.387704935,0.477303754,0.788540112
30,0.8505875,0.507354932,0.464014526,0.397547402,0.484717851,0.794563009
31,0.8540125,0.520119705,0.466201717,0.406751,0.491686978,0.800851807
32,0.8573125,0.532886095,0.468760317,0.415983833,0.498770528,0.807462012
33,0.8603625,0.545210985,0.470287224,0.424216575,0.504985155,0.814001191
34,0.863375,0.557712895,0.472969627,0.433053132,0.511857443,0.820545027
35,0.86625625,0.57011335,0.475321888,0.441505561,0.518420164,0.827120486
36,0.86905625,0.582457904,0.478210631,0.450116598,0.525211322,0.833680157
37,0.87155625,0.593802558,0.480810499,0.457897417,0.531366155,0.839320489
38,0.87383125,0.604419433,0.483121492,0.465020128,0.537006032,0.844282002
39,0.87591875,0.614543552,0.484772202,0.47139109,0.541998293,0.848739808
40,0.87765,0.622979398,0.486670518,0.476970553,0.546452898,0.852813958
41,0.87924375,0.630994932,0.488114889,0.481998774,0.550433953,0.856585499
42,0.8807375,0.638560052,0.489724331,0.486862397,0.554325486,0.860692122
43,0.88233125,0.646342124,0.492571806,0.492606802,0.559076325,0.864920223
44,0.8839375,0.654109962,0.495873225,0.49861934,0.564104972,0.869108084
45,0.8855875,0.661806466,0.500123803,0.505207073,0.569716059,0.873192215
46,0.88715,0.669020252,0.504415649,0.511577805,0.575172933,0.87690365
47,0.88853125,0.675558483,0.507923407,0.517091533,0.579868554,0.880270413
48,0.88989375,0.681820681,0.511843843,0.522741968,0.584729981,0.883322306
49,0.89098125,0.686459764,0.515723011,0.527580664,0.588967175,0.886086843
50,0.892125,0.691076518,0.520303731,0.532880913,0.593652886,0.888858934
51,0.89335625,0.696013562,0.52525586,0.538586775,0.598697053,0.891618109
52,0.89451875,0.700879445,0.529506438,0.543788538,0.603258187,0.894093076
53,0.89555,0.704815339,0.533963354,0.548682473,0.60760742,0.896307639
54,0.89649375,0.708349177,0.538131397,0.553189303,0.611617926,0.898288328
55,0.89735,0.71192053,0.541226477,0.556993835,0.614948188,0.900061271
56,0.89835,0.716075496,0.544858039,0.56144147,0.618842278,0.901551222
57,0.89924375,0.719989151,0.547746781,0.565272948,0.622167014,0.902807409
58,0.90006875,0.723520798,0.550552988,0.568864946,0.625295868,0.903872547
59,0.90075,0.726611678,0.552575107,0.571715519,0.627754337,0.904780703
60,0.90134375,0.729500625,0.554019478,0.574077482,0.629764278,0.905561238
61,0.902025,0.732146733,0.556784417,0.57721741,0.632536334,0.906583721
62,0.902775,0.734841923,0.560168372,0.580800594,0.635724991,0.907813884
63,0.90355,0.737992211,0.563057115,0.584267071,0.638764045,0.908889446
64,0.9042375,0.740888937,0.565450644,0.587276939,0.641389318,0.9098968
65,0.9048625,0.743303089,0.567967976,0.590139918,0.643913166,0.91082807
66,0.9054125,0.745785606,0.569618686,0.592448165,0.645905475,0.911678298
67,0.90596875,0.748471899,0.571021789,0.59468511,0.64781479,0.912444224
68,0.90650625,0.750987928,0.572507428,0.596895981,0.649713148,0.913130598
69,0.9069125,0.752897844,0.573621657,0.598564602,0.65114536,0.913695284
70,0.90733125,0.754891864,0.574735886,0.600272807,0.652608889,0.914160547
71,0.90785,0.757183129,0.576386596,0.602488026,0.654529266,0.914542594
72,0.90824375,0.758932928,0.577624629,0.604164246,0.655981254,0.91516706
73,0.9087375,0.76077773,0.579688016,0.606449616,0.658000749,0.915998834
74,0.9094125,0.763559597,0.582122813,0.609433792,0.66060975,0.916745778
75,0.9098375,0.765457499,0.583443381,0.61123696,0.66217039,0.917411378
76,0.91024375,0.767463285,0.584433807,0.612864995,0.663558627,0.918003354
77,0.91058125,0.768809924,0.585713107,0.614378666,0.664886515,0.918467636
78,0.911025,0.770571676,0.587405084,0.616371641,0.666635444,0.918820889
79,0.91130625,0.771775023,0.588354242,0.617591474,0.667696991,0.919113156
80,0.91151875,0.772842983,0.588849455,0.618436005,0.668415505,0.919348204
81,0.91175625,0.773931416,0.589551007,0.619431592,0.669274554,0.91955098
82,0.912075,0.775297941,0.590623968,0.620813388,0.670476904,0.91972362
83,0.912375,0.776508177,0.591738197,0.62214977,0.671647384,0.920141055
84,0.91285,0.778385107,0.593553978,0.624282736,0.673519082,0.920769179
85,0.9132375,0.780062777,0.594833278,0.625953309,0.674970733,0.921314169
86,0.91369375,0.782022837,0.596360185,0.627927263,0.676687504,0.921776022
87,0.91409375,0.783693123,0.597763288,0.629679516,0.678216083,0.922160549
88,0.9143375,0.784701937,0.598629911,0.630751066,0.679151646,0.922446789
89,0.91455625,0.785571359,0.599455266,0.631728571,0.680008426,0.922695153
90,0.91485,0.787106203,0.600074282,0.632877466,0.680981595,0.922911144
91,0.9149875,0.787670491,0.600569495,0.633484064,0.681511661,0.923062059
92,0.91509375,0.788114954,0.600940905,0.633949017,0.68191716,0.923159513
93,0.91518125,0.788650024,0.60102344,0.634257551,0.682170543,0.923250963
94,0.91535625,0.789282815,0.601766259,0.635067008,0.68288571,0.92333881
95,0.915425,0.789596189,0.601972598,0.635356567,0.683135859,0.923414812
96,0.9154,0.789644714,0.601683724,0.63518025,0.68296796,0.923474649
97,0.9154,0.789770264,0.601518653,0.635125407,0.682908546,0.923534451
98,0.91539375,0.789570585,0.601724992,0.635173861,0.682966814,0.923603923
99,0.91539375,0.789727475,0.601518653,0.635105308,0.682892548,0.923672174
100,0.91538125,0.789830325,0.601271047,0.634982809,0.682771386,0.923744162
101,0.91555625,0.790526259,0.60193133,0.635765082,0.683457114,0.92411168
102,0.91566875,0.790950962,0.602385276,0.636277675,0.68390845,0.924431511
103,0.91579375,0.791556013,0.602715418,0.636789502,0.684347398,0.924717585
104,0.91584375,0.79174118,0.602921756,0.637018812,0.684549608,0.92493848
105,0.9159125,0.79183364,0.603416969,0.637403924,0.684903274,0.92508439
106,0.915925,0.792077598,0.603210631,0.637376072,0.684861547,0.925202918
107,0.9158875,0.792104978,0.602839221,0.637132504,0.684632329,0.925303075
108,0.915875,0.792209201,0.602591614,0.637010351,0.684511532,0.925376295
109,0.9159125,0.792371962,0.602715418,0.637172159,0.684652166,0.925419496
110,0.91595,0.792661746,0.60267415,0.637279416,0.684733683,0.925375529
111,0.91608125,0.793183915,0.603169363,0.637866257,0.685248131,0.925614086
112,0.91598125,0.792845122,0.602715418,0.637393823,0.684828734,0.925824025
113,0.9161875,0.793980224,0.603086827,0.638181901,0.685491815,0.926401105
114,0.9164,0.795160413,0.603458237,0.638990621,0.686171461,0.926832656
115,0.9166,0.795966076,0.604201056,0.639881382,0.686951626,0.92718872
116,0.91671875,0.796595421,0.604448663,0.640346778,0.687346019,0.927476225
117,0.91680625,0.797105392,0.604572466,0.640670563,0.687615874,0.927702018
118,0.9168,0.797094352,0.604531198,0.640636805,0.687585074,0.927865621
119,0.9167125,0.796972007,0.603912182,0.64015052,0.687139034,0.927957712
120,0.91655,0.796781233,0.602715418,0.639231109,0.686292937,0.927939716
121,0.9164875,0.796508456,0.602509079,0.638960911,0.686057986,0.927820226
122,0.91643125,0.796473222,0.602055134,0.638629247,0.685750546,0.927616371
123,0.91638125,0.796222501,0.60193133,0.638426659,0.685577307,0.927373744
124,0.91623125,0.795922829,0.600982172,0.637627857,0.684850337,0.927090424
125,0.915925,0.794793262,0.599702872,0.636213929,0.683601468,0.926764127
126,0.9156,0.794014471,0.597804556,0.634532089,0.682079292,0.926362647
127,0.91553125,0.793729102,0.597556949,0.634227487,0.681812831,0.925968035
128,0.91550625,0.793587284,0.597515682,0.634133036,0.681733644,0.925590388
129,0.91546875,0.793197875,0.597680753,0.634067307,0.681697301,0.925210883
130,0.91545625,0.79317522,0.597598217,0.633999389,0.681635247,0.924875055
131,0.91544375,0.79305624,0.597639485,0.63397289,0.681618149,0.924552354
132,0.91545,0.793324564,0.597350611,0.633896374,0.681529262,0.924739772
133,0.91540625,0.793502716,0.596731595,0.633547931,0.68119185,0.924788461
134,0.91538125,0.79345738,0.596566524,0.633411958,0.681067584,0.924759845
135,0.91541875,0.793557592,0.596772862,0.63360208,0.681238959,0.925110725
136,0.91563125,0.79423214,0.597804556,0.634632942,0.682159591,0.925389191
137,0.91595,0.795257913,0.599331463,0.636171207,0.683531793,0.925645554
138,0.9160875,0.795795467,0.599867943,0.636793806,0.684079251,0.925861728
139,0.91620625,0.796169631,0.600445692,0.63736935,0.684593126,0.926041233
140,0.9164,0.796514804,0.601724992,0.63841918,0.685551742,0.926207113
141,0.91660625,0.797140206,0.602756685,0.639426747,0.686452826,0.926432464
142,0.9166625,0.79730467,0.60304556,0.639703894,0.686701128,0.92644134
143,0.916725,0.797188317,0.603747111,0.640136786,0.687112531,0.92630068
144,0.91655625,0.7966305,0.602963024,0.639332856,0.686397482,0.926032622
145,0.9164625,0.796593515,0.602178937,0.638771184,0.685875441,0.925690174
146,0.9160625,0.795362572,0.600198085,0.636822574,0.684133779,0.925227202
147,0.91588125,0.795134513,0.598877517,0.635798052,0.683190923,0.924904257
148,0.91579375,0.794944898,0.598341037,0.635336664,0.682771774,0.924506128
149,0.915825,0.794807187,0.598794982,0.635588881,0.683016381,0.924176522
