epoch,OA,P,R,KC,F1,AUC
0,0.808992063,0.018073056,0.316023739,0.014239621,0.034190778,0.798428493
1,0.809698413,0.018469657,0.321958457,0.01500284,0.034935201,0.801364956
2,0.810444444,0.019119153,0.332344214,0.016254195,0.036158192,0.804307194
3,0.811484127,0.020091676,0.347922849,0.018127577,0.037989551,0.80756514
4,0.812730159,0.020765121,0.357566766,0.019421117,0.039250814,0.811010241
5,0.814666667,0.021693766,0.370178042,0.021201854,0.040985626,0.814651804
6,0.817,0.022815193,0.385014837,0.02334952,0.043077689,0.818475833
7,0.819674603,0.023923019,0.398367953,0.025464849,0.045135533,0.822446953
8,0.822904762,0.025054368,0.410237389,0.027616208,0.047224594,0.826556602
9,0.826730159,0.025921126,0.415430267,0.029246354,0.04879749,0.830842529
10,0.831365079,0.027136204,0.423590504,0.031530324,0.051004913,0.835387835
11,0.83684127,0.028797096,0.435459941,0.034647465,0.054021719,0.84032485
12,0.842928571,0.03064081,0.446587537,0.03808657,0.057346987,0.84575351
13,0.849650794,0.032419218,0.452522255,0.041363337,0.060503868,0.851737418
14,0.857396825,0.034922767,0.462908012,0.045964541,0.064945878,0.858225439
15,0.865714286,0.038087328,0.476261128,0.051746779,0.070533949,0.865068088
16,0.873825397,0.041125268,0.483679525,0.057213285,0.075805139,0.872018295
17,0.882420635,0.044572202,0.488872404,0.063328712,0.081695903,0.878820428
18,0.891111111,0.048664818,0.494807122,0.070506997,0.088614322,0.885260265
19,0.900174603,0.053159319,0.495548961,0.078205755,0.096018399,0.891203892
20,0.908960317,0.05829479,0.495548961,0.086835691,0.104317951,0.896636191
21,0.917611111,0.063918123,0.491097923,0.095998898,0.113114054,0.901561184
22,0.925849206,0.070207505,0.484421365,0.105931999,0.122640624,0.905928253
23,0.934238095,0.077363548,0.471068249,0.116666431,0.132900795,0.909829404
24,0.94168254,0.084832549,0.454747774,0.127252328,0.142990436,0.913345469
25,0.949095238,0.095625798,0.444362018,0.142280625,0.157383079,0.916558542
26,0.955793651,0.107620818,0.429525223,0.157705006,0.172116528,0.919533849
27,0.961603175,0.122784263,0.421364985,0.176513201,0.190157349,0.922322348
28,0.967015873,0.142201835,0.413946588,0.198926586,0.21168437,0.924930077
29,0.971301587,0.162097735,0.403560831,0.219376096,0.231292517,0.927393359
30,0.975039683,0.185729276,0.393916914,0.24140578,0.252436415,0.929740531
31,0.978309524,0.213961173,0.384272997,0.264768842,0.274873972,0.931975941
32,0.981111111,0.247306562,0.37462908,0.28876833,0.297935103,0.93411692
33,0.983253968,0.283276451,0.369436202,0.312341696,0.320669672,0.936179784
34,0.985007937,0.32239002,0.364243323,0.334487179,0.342041101,0.938156983
35,0.986642857,0.37164751,0.359792285,0.358875984,0.365623822,0.940052028
36,0.987793651,0.417247387,0.355341246,0.377689844,0.383814103,0.941859779
37,0.988746032,0.465551181,0.350890208,0.394602008,0.400169205,0.943573279
38,0.98947619,0.51187905,0.351632047,0.411761193,0.416886544,0.945181927
39,0.990047619,0.555035129,0.351632047,0.425752424,0.430517711,0.946674673
40,0.990539683,0.598984772,0.350148368,0.437507483,0.441947566,0.948028123
41,0.990888889,0.635135135,0.348664688,0.445990424,0.450191571,0.949250366
42,0.991190476,0.67,0.347922849,0.454014822,0.458007813,0.950344956
43,0.991420635,0.698365527,0.348664688,0.461277766,0.465116279,0.951339449
44,0.991603175,0.723076923,0.348664688,0.466758615,0.47047047,0.952265448
45,0.991753968,0.744075829,0.349406528,0.471906817,0.475517415,0.953148194
46,0.991857143,0.755555556,0.353115727,0.477735019,0.481294237,0.954016936
47,0.992015873,0.771428571,0.360534125,0.487915623,0.49140546,0.95488416
48,0.99215873,0.787539936,0.365727003,0.496074067,0.499493414,0.955755553
49,0.992285714,0.796529968,0.37462908,0.50620656,0.509586276,0.956639561
50,0.992404762,0.802163833,0.385014837,0.516948752,0.520300752,0.95753544
51,0.992563492,0.807174888,0.400593472,0.53212824,0.535448686,0.958436227
52,0.992690476,0.811678832,0.412462908,0.543685132,0.546974914,0.959349196
53,0.992880952,0.82168331,0.427299703,0.558997229,0.562225476,0.960256979
54,0.993,0.828169014,0.43620178,0.568241416,0.571428571,0.96116166
55,0.993174603,0.833333333,0.452522255,0.583401459,0.586538462,0.962057415
56,0.993325397,0.836653386,0.46735905,0.596621054,0.599714422,0.962942294
57,0.993412698,0.839895013,0.474777448,0.603571793,0.606635071,0.963819856
58,0.993515873,0.842580645,0.484421365,0.612137662,0.615167216,0.964682799
59,0.993539683,0.842307692,0.487388724,0.614457462,0.617481203,0.965526033
60,0.993666667,0.844611529,0.5,0.625162993,0.628145387,0.966350763
61,0.99381746,0.849079755,0.513353116,0.636924894,0.639852057,0.967155656
62,0.99397619,0.853541417,0.527448071,0.649127096,0.651994498,0.967947109
63,0.994063492,0.857142857,0.534124629,0.655303775,0.658135283,0.968724704
64,0.994166667,0.858479532,0.544510386,0.663570249,0.666364049,0.969484648
65,0.994238095,0.860788863,0.550445104,0.66872851,0.671493213,0.97022746
66,0.994325397,0.862542955,0.558605341,0.67534245,0.67807294,0.970954133
67,0.994452381,0.86583991,0.569732938,0.684569778,0.687248322,0.971662211
68,0.994587302,0.868362832,0.582344214,0.694534397,0.697158082,0.972352894
69,0.99468254,0.869281046,0.591988131,0.7017394,0.704324801,0.973029469
70,0.994761905,0.873101952,0.597181009,0.70670214,0.709251101,0.973690633
71,0.994928571,0.878335112,0.610534125,0.717874713,0.720350109,0.974339177
72,0.995039683,0.882539683,0.618694362,0.72500638,0.727431313,0.974970502
73,0.995119048,0.882168926,0.627596439,0.731027658,0.733420026,0.975587454
74,0.995253968,0.885010267,0.639465875,0.740131007,0.742463394,0.976193051
75,0.99534127,0.884732053,0.649109792,0.746528098,0.748823278,0.976783466
76,0.995388889,0.883883884,0.65504451,0.750174638,0.752449936,0.97736233
77,0.995484127,0.884501481,0.664688427,0.756767445,0.759000424,0.977928654
78,0.99552381,0.8828125,0.670623145,0.760009155,0.76222597,0.978481076
79,0.995587302,0.882978723,0.677299703,0.764394369,0.766582704,0.97901987
80,0.99568254,0.887283237,0.683234421,0.769861122,0.772003353,0.979548713
81,0.995793651,0.890267176,0.692136499,0.776708236,0.778797997,0.980064949
82,0.995888889,0.895238095,0.697329377,0.781943704,0.783986656,0.980568505
83,0.995928571,0.894985809,0.701780415,0.784669434,0.786694387,0.981059394
84,0.996007937,0.895229186,0.709940653,0.789902523,0.791890774,0.981540187
85,0.996095238,0.89703154,0.71735905,0.795250325,0.797197032,0.982010276
86,0.996198413,0.898989899,0.726261128,0.801549394,0.803446861,0.982469718
87,0.996293651,0.899365367,0.735905045,0.807613029,0.809465524,0.982915788
88,0.996380952,0.899641577,0.744807122,0.813124032,0.814935065,0.983352627
89,0.996404762,0.897071872,0.75,0.815168865,0.816969697,0.983785643
90,0.996460317,0.894921191,0.758160237,0.819108386,0.820883534,0.98420564
91,0.996539683,0.897212544,0.764094955,0.823584377,0.825320513,0.984618739
92,0.996595238,0.897147796,0.770029674,0.827033138,0.828742515,0.985020707
93,0.99668254,0.898799314,0.777448071,0.83206453,0.833731106,0.985416872
94,0.996746032,0.900170648,0.78264095,0.835666266,0.837301587,0.985806577
95,0.996801587,0.899408284,0.789317507,0.839165901,0.840774397,0.986184862
96,0.99684127,0.897822446,0.795252226,0.841840826,0.84343037,0.986550848
